epoch,train_loss,dev_loss,dev_f1_micro,dev_f1_macro
1,1.0479586592203454,0.8209750950336456,0.26063829787234044,0.28089397776304437
2,0.8305920392652101,0.6339068412780762,0.3472222222222222,0.36364138842467014
3,0.6952344767654999,0.5401310622692108,0.4576271186440678,0.510996816988479
4,0.6180048888619942,0.39937451481819153,0.45662100456621,0.4843327795199453
5,0.5129137661638139,0.36325477063655853,0.4807692307692308,0.5309287614914214
6,0.4484311125323742,0.2701742872595787,0.5684210526315789,0.6013223618486776
7,0.3850621552784232,0.23320137709379196,0.631578947368421,0.6616620752984389
8,0.33054987671254554,0.17692385613918304,0.6708074534161491,0.6832511517003496
9,0.2679366860774499,0.14486578851938248,0.7248322147651006,0.7358006817899866
10,0.22896433225538157,0.10021619498729706,0.7801418439716312,0.7996375235609686
11,0.17859438903441158,0.049385882914066315,0.873015873015873,0.8870960689142506
12,0.13666062875167478,0.056666333228349686,0.8852459016393442,0.9046953046953046
13,0.11797590585590541,0.03739436063915491,0.9230769230769231,0.9365856365856366
14,0.10129927459491204,0.018497806508094072,0.9401709401709402,0.9489399489399489
15,0.08207061623895093,0.022790757939219475,0.9166666666666666,0.9313649313649315
16,0.07733301566088502,0.020953441970050335,0.9243697478991597,0.9352465716102079
