gloss,precision,recall,f1-score,support
PLACE,0.0,0.0,0.0,0.0
PLANT,0.0,0.0,0.0,0.0
PLAY,0.0,0.0,0.0,0.0
PLEASE,0.0,0.0,0.0,0.0
PT_DEM3,0.0,0.0,0.0,0.0
PT_LOC,0.0,0.0,0.0,0.0
PT_POSS1,0.0,0.0,0.0,0.0
PT_POSS2,0.0,0.0,0.0,0.0
PT_POSS3,0.0,0.0,0.0,0.0
PT_PRO1,0.0,0.0,0.0,0.0
PT_PRO1PL,0.0,0.0,0.0,0.0
PT_PRO2,0.0,0.0,0.0,0.0
PT_PRO3,0.0,0.0,0.0,0.0
PT_PRO3PL,0.0,0.0,0.0,0.0
PUT,0.0,0.0,0.0,0.0
QUESTION,0.0,0.0,0.0,0.0
QUICK,0.0,0.0,0.0,0.0
RAIN,0.0,0.0,0.0,0.0
READY,0.27232142857142855,0.8133333333333334,0.4080267558528428,75.0
REALLY,0.0,0.0,0.0,0.0
REMEMBER,0.0,0.0,0.0,0.0
RIGHT,0.0,0.0,0.0,0.0
SAIL,0.0,0.0,0.0,0.0
SAME,0.0,0.0,0.0,0.0
SAY,0.0,0.0,0.0,0.0
SCHOOL,0.0,0.0,0.0,0.0
SEE,0.0,0.0,0.0,0.0
SHAPE,0.0,0.0,0.0,0.0
SHOP,0.0,0.0,0.0,0.0
SHOULD,0.0,0.0,0.0,0.0
SHOW,0.0,0.0,0.0,0.0
SIGN,0.0,0.0,0.0,0.0
SINK,0.0,0.0,0.0,0.0
SMALL,0.0,0.0,0.0,0.0
SO,0.0,0.0,0.0,0.0
SOCCER,0.0,0.0,0.0,0.0
SOME,0.0,0.0,0.0,0.0
SOMETHING,0.0,0.0,0.0,0.0
SOON,0.0,0.0,0.0,0.0
SPECIAL,0.0,0.0,0.0,0.0
START,0.0,0.0,0.0,0.0
STORY,0.0,0.0,0.0,0.0
STRONG,0.0,0.0,0.0,0.0
SURPRISE,0.0,0.0,0.0,0.0
TAKE,0.0,0.0,0.0,0.0
TELL,0.0,0.0,0.0,0.0
THANK-YOU,0.0,0.0,0.0,0.0
THAT,0.0,0.0,0.0,0.0
THEN,0.0,0.0,0.0,0.0
THERE,0.0,0.0,0.0,0.0
THING,0.0,0.0,0.0,0.0
THINK,0.0,0.0,0.0,69.0
THIS,0.0,0.0,0.0,0.0
THREE,0.0,0.0,0.0,0.0
THROUGH,0.0,0.0,0.0,0.0
TIME,0.375,0.2830188679245283,0.3225806451612903,53.0
TODAY,0.0,0.0,0.0,0.0
TOOL,0.0,0.0,0.0,0.0
TOP,0.0,0.0,0.0,0.0
TREE,0.0,0.0,0.0,0.0
TRY,0.0,0.0,0.0,0.0
TWO,0.0,0.0,0.0,0.0
UNDERSTAND,0.0,0.0,0.0,0.0
