epoch,train_loss,dev_loss,dev_f1_micro,dev_f1_macro
1,1.061663230136037,0.8907187581062317,0.2895622895622896,0.35401225529828634
2,0.8521397341042757,0.7268017530441284,0.34306569343065696,0.3585123966942149
3,0.7158090356737375,0.5851895064115524,0.4528301886792453,0.4821295474281115
4,0.6358980242162943,0.4316868185997009,0.49261083743842365,0.5039715029888673
5,0.5432634845376014,0.5432203114032745,0.5280898876404494,0.5745415212806516
6,0.5042264699935913,0.4105748161673546,0.46464646464646464,0.5171218702769506
7,0.4438604122027755,0.29955169558525085,0.6060606060606061,0.6577965466959775
8,0.4130058673210442,0.2989404946565628,0.6,0.6635820835511238
9,0.3592971039004624,0.18844690173864365,0.7034482758620689,0.7192474103436669
10,0.3142666695639491,0.21459106355905533,0.7352941176470589,0.7562180243998426
11,0.29641292318701745,0.14203856512904167,0.746268656716418,0.7705928043248617
12,0.2630649932194501,0.10575713589787483,0.8264462809917356,0.8527976479848138
13,0.23088118159212173,0.12381855770945549,0.796875,0.8294210246081906
14,0.20489534116350114,0.05606898106634617,0.8869565217391304,0.8896431850977305
15,0.17272098665125668,0.09380355291068554,0.85,0.876472942262416
16,0.15835432081948966,0.045955533161759377,0.9272727272727272,0.9437229437229437
17,0.13658140923362225,0.08109794929623604,0.8928571428571429,0.9064631540708095
18,0.12936449702829123,0.029933594167232513,0.9357798165137615,0.9376623376623378
19,0.1023939435603097,0.011169346049427986,0.9714285714285714,0.9715335169880625
20,0.09484274807909969,0.010650989366695285,0.9807692307692307,0.9797979797979799
21,0.080172975017922,0.0145242630969733,0.9714285714285714,0.9686475141020595
22,0.06258621851156931,0.20565177162643522,0.9333333333333333,0.9414141414141415
23,0.06892166975012515,0.0473211866337806,0.9807692307692307,0.9818181818181819
24,0.047409805875940944,0.0003912347528967075,1.0,1.0
25,0.03810514125070767,0.00015547805196547415,1.0,1.0
26,0.03124483309147763,5.060548028268386e-05,1.0,1.0
27,0.02922688123089756,0.0007469928295904538,1.0,1.0
28,0.025434436246905535,0.0002003206445806427,1.0,1.0
29,0.02098283363793598,7.400803951895796e-06,1.0,1.0
30,0.01289100681274249,0.004360568384299768,0.9902912621359223,0.98989898989899
31,0.014247239854103099,0.0004446756589686629,1.0,1.0
32,0.008741021758805801,3.504596520542691e-06,1.0,1.0
33,0.011174141292895002,5.420151182988775e-06,1.0,1.0
34,0.00790849786403669,1.3593468679573562e-06,1.0,1.0
35,0.0034795939710193123,1.5572431379951013e-06,1.0,1.0
36,0.0040747337246443745,1.4290853300735762e-06,1.0,1.0
37,0.0034253840017981927,1.175859551949543e-06,1.0,1.0
38,0.003103330638418811,1.4793640161769872e-06,1.0,1.0
39,0.005888084910179714,1.1699007416154927e-06,1.0,1.0
40,0.0029879823526243856,1.1736864280464943e-06,1.0,1.0
